AAPL,dt_date,Mkt-RF,SMB,HML,RF,Mom,_merge,AAPL_FF_merge_indicator,AAPL_RF
-0.17216312453381077,1981-01,-5.06,2.91,6.74,1.04,-7.82,both,both,-18.256312453381078
-0.06194274089733731,1981-02,0.61,-0.47,0.97,1.07,-1.35,both,both,-7.264274089733732
-0.07547502922107607,1981-03,3.67,3.34,0.61,1.21,0.82,both,both,-8.757502922107609
0.15816245316768263,1981-04,-2.16,4.5,2.28,1.08,-1.08,both,both,14.736245316768263
0.1673985072726949,1981-05,0.13,1.94,-0.43,1.15,3.56,both,both,15.589850727269491
-0.21509515089619824,1981-06,-2.34,-0.83,5.14,1.35,-5.67,both,both,-22.859515089619826
-0.03845919920605989,1981-07,-1.55,-2.07,-0.61,1.24,-2.44,both,both,-5.085919920605989
-0.19499627023560773,1981-08,-7.02,-1.95,4.71,1.28,-1.1,both,both,-20.779627023560774
-0.24224257036434604,1981-09,-7.19,-2.68,5.11,1.24,2.13,both,both,-25.464257036434603
0.3114875272474844,1981-10,4.92,2.13,-4.09,1.21,3.83,both,both,29.93875272474844
-0.06875708324354313,1981-11,3.4,-1.09,1.91,1.07,-0.21,both,both,-7.945708324354313
0.18792002583891576,1981-12,-3.63,1.18,0.79,0.87,1.28,both,both,17.922002583891576
-0.07909170976559088,1982-01,-3.23,-1.25,3.19,0.8,1.77,both,both,-8.709170976559088
-0.1042975842895213,1982-02,-5.86,0.46,6.09,0.92,4.87,both,both,-11.34975842895213
-0.07533830237195605,1982-03,-1.82,-0.19,3.76,0.98,2.9,both,both,-8.513830237195604
-0.12593070875688117,1982-04,3.24,1.64,-3.08,1.13,-0.46,both,both,-13.723070875688116
-0.050844656779416963,1982-05,-3.93,0.17,1.78,1.06,2.51,both,both,-6.144465677941696
-0.08927951999834238,1982-06,-3.08,-0.43,1.56,0.96,4.89,both,both,-9.88795199983424
0.05881877469703234,1982-07,-3.2,0.91,0.07,1.05,4.4,both,both,4.831877469703234
0.33332784008974015,1982-08,11.23,-4.28,1.09,0.76,-3.6,both,both,32.57278400897402
0.013888713858347446,1982-09,1.31,2.87,0.23,0.51,4.14,both,both,0.8788713858347446
0.39041046856484507,1982-10,11.3,2.38,-3.62,0.59,0.01,both,both,38.4510468564845
0.2561600431021218,1982-11,4.68,4.63,-1.8,0.63,5.92,both,both,24.986004310212184
-0.0627414828869447,1982-12,0.56,-0.31,-0.06,0.67,-0.02,both,both,-6.944148288694469
0.36819864472274766,1983-01,3.59,2.82,-0.72,0.69,-1.63,both,both,36.12986447227477
0.11620600950342852,1983-02,2.59,3.18,0.66,0.62,3.69,both,both,11.000600950342852
-0.07397289193287315,1983-03,2.81,1.75,2.06,0.63,0.88,both,both,-8.027289193287316
0.19526479065021807,1983-04,6.66,0.46,0.43,0.71,1.63,both,both,18.816479065021806
0.143568413402811,1983-05,0.51,6.2,-1.4,0.69,-1.55,both,both,13.6668413402811
-0.1536815172615712,1983-06,3.07,0.93,-3.89,0.67,1.83,both,both,-16.03815172615712
-0.2864444859376657,1983-07,-4.06,1.5,5.54,0.74,-3.08,both,both,-29.384448593766567
0.06810249246496669,1983-08,-0.5,-4.29,5.59,0.76,-5.38,both,both,6.050249246496669
-0.37919411292415417,1983-09,0.92,0.61,0.99,0.76,-0.01,both,both,-38.679411292415416
-0.021629723921178345,1983-10,-3.43,-3.55,4.96,0.76,-4.46,both,both,-2.9229723921178348
-0.09944183605454882,1983-11,2.17,2.02,-0.73,0.7,-0.14,both,both,-10.64418360545488
0.19631771738685955,1983-12,-1.77,-0.25,1.75,0.73,0.81,both,both,18.901771738685955
0.015383984874531187,1984-01,-1.92,-0.35,7.48,0.76,-2.57,both,both,0.7783984874531187
0.060611105216385575,1984-02,-4.77,-1.68,3.41,0.71,0.45,both,both,5.3511105216385575
-0.05714734167715485,1984-03,0.65,0.1,0.53,0.73,1.09,both,both,-6.444734167715485
0.2676773320464423,1984-04,-0.51,-1.16,1.19,0.81,2.14,both,both,25.95773320464423
-0.06374777158197309,1984-05,-5.98,0.07,0.26,0.78,1.54,both,both,-7.15477715819731
-0.0978666293426732,1984-06,1.81,-0.24,-2.75,0.75,-0.53,both,both,-10.536662934267321
-0.03774167111879456,1984-07,-2.72,-2.2,0.39,0.82,2.77,both,both,-4.5941671118794565
0.039221973960647194,1984-08,10.27,-0.27,-1.74,0.83,-5.62,both,both,3.0921973960647193
-0.05189149521618819,1984-09,-0.8,0.15,5.25,0.86,3.66,both,both,-6.049149521618819
-0.00994968469486357,1984-10,-0.84,-1.11,0.59,1.0,3.28,both,both,-1.994968469486357
-0.005024574847207863,1984-11,-1.77,-0.72,3.87,0.73,1.56,both,both,-1.2324574847207863
0.17676521276884505,1984-12,1.84,-0.66,-0.29,0.64,1.38,both,both,17.036521276884503
-0.004291606362055944,1985-01,7.97,3.27,-5.21,0.65,-6.82,both,both,-1.0791606362055943
-0.1465501420906673,1985-02,1.22,0.71,-0.24,0.58,1.91,both,both,-15.23501420906673
-0.10606328726164693,1985-03,-0.83,-1.07,4.01,0.62,1.78,both,both,-11.226328726164693
-0.039545854882795495,1985-04,-0.96,0.09,3.6,0.72,2.95,both,both,-4.67458548827955
-0.18235156697776855,1985-05,5.07,-2.3,-0.98,0.66,4.05,both,both,-18.895156697776855
0.035968607590106005,1985-06,1.27,0.48,0.38,0.55,3.37,both,both,3.0468607590106007
-0.11804813022143035,1985-07,-0.72,2.83,-1.62,0.62,-3.69,both,both,-12.424813022143034
-0.055128423989972974,1985-08,-1.01,-0.3,2.34,0.55,1.77,both,both,-6.062842398997297
0.05001214539959098,1985-09,-4.51,-1.62,1.21,0.6,1.6,both,both,4.401214539959098
0.18252672490168464,1985-10,4.0,-1.5,0.77,0.65,4.87,both,both,17.602672490168466
0.08054448160441119,1985-11,6.46,0.19,-2.91,0.61,-0.55,both,both,7.444448160441119
0.09316068613799411,1985-12,3.88,-0.53,-1.46,0.65,-0.23,both,both,8.66606861379941
0.05114327099532945,1986-01,0.65,1.15,0.46,0.56,2.95,both,both,4.554327099532944
0.08107590625472194,1986-02,7.14,-0.57,-0.63,0.53,2.56,both,both,7.577590625472195
0.13000056709867946,1986-03,4.91,-0.54,-0.39,0.6,2.38,both,both,12.400056709867947
0.07080005345935048,1986-04,-1.28,2.76,-2.81,0.52,-0.35,both,both,6.560005345935048
0.22313995955841315,1986-05,4.62,-1.36,-0.14,0.49,2.06,both,both,21.823995955841315
-0.03040864684586919,1986-06,1.06,-0.93,1.2,0.52,4.94,both,both,-3.560864684586919
-0.12891789007570398,1986-07,-6.43,-3.43,4.66,0.52,1.89,both,both,-13.411789007570398
0.18400127979040914,1986-08,6.07,-4.16,3.54,0.46,-5.17,both,both,17.940127979040913
-0.09459362272008831,1986-09,-8.59,2.4,3.23,0.45,-5.68,both,both,-9.909362272008831
0.033579643605799125,1986-10,4.64,-2.53,-1.42,0.46,4.48,both,both,2.8979643605799126
0.15523119308867406,1986-11,1.17,-1.87,-0.02,0.39,-0.27,both,both,15.133119308867405
0.012504754908461369,1986-12,-3.26,0.19,0.36,0.49,0.45,both,both,0.7604754908461369
0.37036733851536385,1987-01,12.45,-1.89,-3.18,0.42,2.03,both,both,36.61673385153638
0.2612609581916505,1987-02,4.38,3.45,-5.86,0.43,-2.22,both,both,25.696095819165052
-0.0785731592438329,1987-03,1.63,0.5,1.66,0.47,1.66,both,both,-8.32731592438329
0.22868588797384293,1987-04,-2.09,-1.72,-0.36,0.44,0.2,both,both,22.42858879738429
-0.0016373574220356346,1987-05,0.11,-0.53,0.22,0.38,-0.77,both,both,-0.5437357422035635
0.025315189687215245,1987-06,3.91,-2.03,1.13,0.48,-0.22,both,both,2.0515189687215245
0.01851995447310939,1987-07,3.84,-0.57,0.94,0.46,2.57,both,both,1.391995447310939
0.3107821555145671,1987-08,3.52,-0.85,-0.98,0.47,-0.95,both,both,30.608215551456713
0.04629518268099031,1987-09,-2.58,0.58,0.26,0.45,0.8,both,both,4.179518268099031
-0.3163712526801835,1987-10,-23.19,-8.27,4.18,0.6,-7.75,both,both,-32.23712526801835
-0.14376738889129148,1987-11,-7.76,2.68,3.14,0.35,-1.21,both,both,-14.726738889129148
0.2727265672351673,1987-12,6.82,0.03,-4.42,0.39,5.88,both,both,26.88265672351673
-0.011903813327273083,1988-01,4.21,-0.75,4.93,0.29,-7.35,both,both,-1.4803813327273083
0.03818852918535387,1988-02,4.77,3.33,-1.53,0.46,-1.45,both,both,3.358852918535387
-0.06976803227135309,1988-03,-2.26,6.01,0.86,0.44,0.61,both,both,-7.416803227135309
0.02499827801986587,1988-04,0.57,0.91,1.51,0.46,2.2,both,both,2.039827801986587
0.014198924197773577,1988-05,-0.27,-2.54,2.44,0.51,0.66,both,both,0.9098924197773577
0.11445589395216871,1988-06,4.78,2.02,-1.35,0.49,-3.02,both,both,10.95558939521687
-0.04054013882628282,1988-07,-1.25,-0.23,2.18,0.51,0.66,both,both,-4.564013882628283
-0.09971283327571945,1988-08,-3.31,0.07,2.14,0.59,0.36,both,both,-10.561283327571944
0.08463990180404335,1988-09,3.31,-1.34,-0.75,0.62,0.29,both,both,7.843990180404334
-0.10693779142853754,1988-10,1.16,-2.92,2.03,0.61,1.3,both,both,-11.303779142853754
-0.023317256986775448,1988-11,-2.27,-1.64,1.47,0.57,0.18,both,both,-2.9017256986775446
0.06976556637443498,1988-12,1.48,1.89,-1.83,0.63,0.31,both,both,6.3465566374434985
-0.06211057651437346,1989-01,6.07,-2.19,0.61,0.55,-0.25,both,both,-6.761057651437346
-0.037087848660562694,1989-02,-2.23,2.81,0.99,0.61,0.99,both,both,-4.318784866056269
-0.017243880083777863,1989-03,1.57,0.67,0.47,0.67,3.51,both,both,-2.394388008377786
0.09473740266146113,1989-04,4.35,-0.67,-1.48,0.67,1.71,both,both,8.803740266146113
0.2270416613931887,1989-05,3.28,-0.09,-0.9,0.79,1.42,both,both,21.914166139318873
-0.13612387470816634,1989-06,-1.33,-0.97,2.21,0.71,0.4,both,both,-14.322387470816633
-0.03636410829308401,1989-07,7.18,-4.11,-2.8,0.7,5.32,both,both,-4.3364108293084005
0.12215158628111245,1989-08,1.43,0.57,0.62,0.74,-0.49,both,both,11.475158628111243
0.0,1989-09,-0.76,0.3,-1.27,0.65,3.51,both,both,-0.65
0.044946050126493775,1989-10,-3.65,-3.24,-1.16,0.68,1.35,both,both,3.8146050126493773
-0.04604451795189857,1989-11,1.04,-1.19,-1.13,0.69,2.7,both,both,-5.294451795189856
-0.20338969745724766,1989-12,1.18,-2.37,0.15,0.61,2.79,both,both,-20.948969745724767
-0.03546169093550566,1990-01,-7.8,-1.14,0.83,0.57,-2.98,both,both,-4.116169093550567
0.0032211055717334958,1990-02,1.12,0.97,0.65,0.57,-0.51,both,both,-0.24788944282665037
0.18382596464255485,1990-03,1.83,1.47,-2.9,0.64,1.72,both,both,17.742596464255485
-0.0217379624872982,1990-04,-3.36,-0.47,-2.57,0.69,2.28,both,both,-2.86379624872982
0.050525759042498786,1990-05,8.43,-2.56,-3.89,0.68,3.14,both,both,4.372575904249879
0.08484827507653492,1990-06,-1.09,1.35,-2.0,0.63,2.49,both,both,7.854827507653492
-0.06145389547191393,1990-07,-1.9,-3.08,-0.06,0.68,6.04,both,both,-6.825389547191393
-0.11638545840725678,1990-08,-10.12,-3.5,1.56,0.66,1.97,both,both,-12.298545840725678
-0.21621420298905147,1990-09,-6.11,-3.64,0.59,0.6,5.71,both,both,-22.221420298905148
0.06034459090162625,1990-10,-1.92,-5.52,0.08,0.68,6.74,both,both,5.354459090162625
0.1991152727808192,1990-11,6.35,0.42,-2.97,0.57,-5.36,both,both,19.34152727808192
0.17006898416182303,1990-12,2.46,0.79,-1.57,0.6,0.25,both,both,16.4068984161823
0.29069750593391697,1991-01,4.69,3.78,-1.48,0.52,-6.47,both,both,28.549750593391696
0.03370216596694808,1991-02,7.19,4.01,-0.62,0.48,-4.94,both,both,2.8902165966948083
0.18777189556128482,1991-03,2.66,3.88,-1.3,0.44,2.71,both,both,18.337189556128482
-0.19117702569501138,1991-04,-0.28,0.5,1.49,0.53,-2.32,both,both,-19.64770256950114
